board,탑승하다
kneel,무릎을 꿇다
wheelbarrow,외바퀴 손수레
apron,앞치마
stroll,산책하다
awning,차양
unroll,"펼치다, 펼쳐지다"
return,반품하다; 반품
cover,(다른 사람의 일을) 대신하다
experienced,경험이 풍부한
incredible,굉장한
promotion,승진
vice president,부사장
certified,공인된
work from home,재택 근무하다
reliable,신뢰할 만한
budget,예산
promising,"유망한, 촉망되는"
inspector,조사관
deadline,마감 기한
keynote speaker,기조 연설자
charity,자선
require,요구하다
negotiate,협상하다
electronics,전자 제품
confirm,확인하다
requirement,요구조건
gather,모으다
itinerary,일정표
consult,상의하다
workforce,"노동자, 직원"
figure out,"이해하다, 알아내다"
rearrange,재조정하다
relocation,이전
acceptable,수용할 만한
supplier,공급업자
appliance,"기구, 장치"
revise,수정하다
postpone,연기하다
enthusiasm,열정
refuse,거절하다
assignment,할당된 일
streamline,간소화하다
deserve,~을 받을 만하다
credit,"공로, 인정"
down payment,계약금
distribute,배포하다
contribute,기여하다
interfere with,~을 방해하다
agenda,안건
allocation,할당
qualify,자격을 갖추다
cost estimate,비용 견적서
incorrectly,부정확하게
questionnaire,설문지
acquire,"획득하다, 매입하다"
come up with,~을 제시하다
invoice,송장
place an order,주문하다
inform,알리다
get through,~을 통과하다
look into,~을 조사하다
layout,배치
culinary,요리의
administration,행정실
opportunity,기회
demonstration,"시연, 시범 설명"
initiative,"계획, 주도권"
undertake,착수하다
overview,개관
portable,휴대가 쉬운
inexpensive,저렴한
unload,짐을 내리다
confident,자신감 있는
retain,유지하다
potential,잠재적인
credential,자격 증명
protective,보호용의
specifically,구체적으로 말하자면
ramp,경사로
examine,조사하다
stack,"쌓다, 포개다"
unpack,(짐 등을) 풀다
stationery supply,사무용품
search through,~을 샅샅이 뒤지다
mount,고정시키다
urgent,긴급한
impressive,인상적인
invitation,"초대, 초대장"
nominate,"임명하다, 지명하다"
make progress,진척을 이루다
come by,잠깐 들르다
factor,요인
belong to,~의 소유이다
attendee,참석자
definitely,"물론, 확실히"
instructor,강사
at the latest,아무리 늦어도
vegetarian,채식주의자
reschedule,일정을 변경하다
stop in,잠시 들르다
point out,"언급하다, 지적하다"
gift certificate,상품권
appointment,(진료 등의) 예약
transfer,이체하다
exceed,초과하다
refusal,"거절, 거부"
reimbursement,환급
emphasize,강조하다
retreat,야유회
pharmacy,약국
quote,견적
executive,"임원, 중역"
revised,수정된
drain,배수관
clog,"막다, 막히다"
look over,~을 훑어보다
remove,제거하다
odor,냄새
belongings,소지품
shift,교대 근무 시간
interviewer,인터뷰 진행자
public relations,홍보
upcoming,다가오는
outing,야유회
collaborate,협업하다
spokesperson,대변인
unnecessary,불필요한
status,상태
presence,존재
oversee,감독하다
grab a bite,간단히 먹다
holder,소유자
retrieve,되찾아오다
charity drive,자선 운동
assess,평가하다
individual,개별적인
entrance,입구
institution,"기관, 단체"
coordinator,진행 담당자
specific,구체적인
massive,거대한
familiarity,"익숙함, 낯익음"
cooperation,협조
complete,완료된
excitement,흥분
glowing,극찬하는
reveal,드러내다
handle,"다루다, 처리하다"
critic,비평가
forward,전달하다
conduct,실시하다
testimonial,"추천서, 추천의 글"
laboratory,"연구소, 실험실"
changeover,"전환, 변경"
register for,~에 등록하다
identification,신원 확인
demonstrate,시범을 보이다
state-of-the-art,최첨단의
breathe,호흡하다
hard hat,안전모
stare,응시하다
podium,연단
produce,농산물
improvement,"향상, 개선"
receipt,영수증
screen,심사하다
quality control,품질 관리
comfortable,편안한
suitable,적합한
achievement,"업적, 성취"
trade fair,무역 박람회
component,"부품, 요소"
extra,"추가의, 여분의"
luncheon,오찬
cosmetics,화장품
fine,벌금
in particular,특별히
essential,매우 중요한
permanent,영구적인
renowned,명성 있는
outdated,오래된
proofread,교정을 보다
complaint,불만
memorable,기억할 만한
get it right,제대로 하다
grant,보조금
press release,보도 자료
journalism,언론학
evaluation,평가
perform,수행하다
regularly,정기적으로
generous,"후한, 관대한"
in-person,직접
usefulness,유용성
renew,갱신하다
thoroughly,철저하게
outstanding,미지불된
quite a few,상당수의
recruit,채용하다
valuable,귀중한
turnout,참가자의 수
refreshments,다과
caterer,출장 조리업체
smoothly,순조롭게
extension number,내선 번호
reminder,상기시키는 것
auditorium,"객석, 강당"
fertilizer,비료
reputation,평판
work out,운동하다
standard,표준의
restructure,개편하다
workload,업무량
bulk discount,대량 주문 할인
assign,할당하다
excuse,변명
expertise,전문 지식
certain,확신하는
lively,활기 넘치는
viewpoint,관점
commercial,상업적인
territory,"영역, 구역"
mandatory,의무적인
fundraising,모금 활동
institute,연구소
fascinating,매우 흥미로운
concentrate,집중하다
tidy,잘 정돈된
nervous,불안한
commemorate,기념하다
milestone,중요한 단계나 사건
confidential,기밀의
journal,잡지
preview screening,사전 시사회
promote,홍보하다
available,이용 가능한
revision,수정
direction,"방향, 길 안내"
confirmation,확인
harvest,수확하다
adjust,"조정하다, 정돈하다"
skyscraper,고층 건물
in the distance,저 멀리
ledge,"턱, 선반"
railing,난간
staircase,계단
press conference,기자 회견
collection,모음
certainly,분명히
neighborhood,동네
commute,통근
basement,지하층
spell,철자를 쓰다
candidate,지원자
assignment,"과제, 임무"
reflect,반영하다
seating,좌석
botanical garden,식물원
baggage claim,짐 찾는 곳
frequently,자주
submit,제출하다
receptionist,접수원
complement,보완하다
refer to,~을 참고하다
on pause,보류 중인
be short on,~이 부족하다
property,"자산, 부동산"
unfavorable,호의적이 아닌
inspection,점검
helpline,전화 상담 서비스
annoying,성가신
site visit,현장 방문
invoice,송장
disappointing,실망스러운
walk-through,자세한 설명
remind,상기시키다
loan,대출
competitive,경쟁력 있는
in operation,운영 중인
keep up with,~을 따라잡다
overbooking,초과 예약
capacity,"용량, 수용력"
compensation,보상
inconvenience,불편
dormitory,기숙사
on time,제시간에
call in sick,병가를 내다
dispose of,~을 없애다
authorities,당국
representative,"담당자, 대리인"
head over to,~으로 향하다
grand opening,"개업, 개점"
display,"전시, 진열"
editorial,편집의
come along,일이 되어가다
a variety of,다양한
in person,직접
dietary,식이의
restriction,제한
relevant,"관련 있는, 적절한"
journalist,기자
deposit,계약금
obviously,확실히
behind schedule,예정보다 늦은
secure,확보하다
charge,청구하다
trilogy,3부작
hesitate,망설이다
striking,"눈에 띄는, 인상적인"
handbook,안내서
merger,합병
undergo,겪다
sacrifice,희생하다
noticeably,현저하게
accomplishment,"업적, 성취"
periodically,주기적으로
hold on to,~을 계속 잡고 있다
composer,작곡가
monetary,금전의
wipe off,~을 닦다
shelf,선반
label,라벨을 붙이다
lean against,~에 기대다
dig up,~을 땅에서 파내다
lab coat,실험복
microscope,현미경
inspect,점검하다
maintenance,유지보수
in stock,재고가 있는
durable,내구성이 있는
recital,연주회
disposable,일회용의
come with,~이 딸려 있다
promotional,홍보의
helpful,유용한
population,인구
opportunity,기회
luggage,"짐, 가방"
qualified,자격을 갖춘
recruiter,인사 담당자
compensate,보상하다
procedure,절차
straightforward,"간단한, 쉬운"
in advance,미리
performance review,성과 평가
advanced,상급의
gorgeous,아주 멋진
weigh,무게를 재다
improve,향상시키다
layout,배치
consult,상의하다
occasion,"경우, 행사"
committee,위원회
bid,입찰
throw in,~을 덤으로 주다
at no charge,무료로
convenient,편리한
empty,비어 있는
carry out,수행하다
method,"방법, 수단"
insufficient,불충분한
allocate,할당하다
accountant,회계사
anniversary,기념일
consider,고려하다
reassure,안심시키다
fulfill,완수하다
century,100년
footage,"장면, 화면"
temporary,임시적인
run into,~와 우연히 만나다
appreciate,감사해하다
generate,만들어내다
regulation,"규제, 규정"
draft,초안을 작성하다
financial,"재무의, 재정의"
inventory,재고
well-known,유명한
ensure,보장하다
ingredient,"재료, 성분"
expire,만료되다
outdated,유효 기간이 지난
cooperation,협조
agreement,"합의, 계약"
directory,"명단, 목록"
reassurance,안심시키는 말
clarification,"설명, 해명"
tune in to,~을 청취하다
spokesperson,대변인
description,설명
board member,이사
insight,통찰력
invaluable,매우 유용한
concern,"우려, 걱정"
struggle,"투쟁하다, 싸우다"
complimentary,무료의
assessment,평가
warranty,보증 기간
overnight delivery,익일 배송
